StationID,model_slope,model_MAD,model_pval,model_intcpt,variable
4AGIL002.39,-0.0014937631449931407,0.0018859655800976926,0.03505611419677734,2.9980992616218893,DOMax
4AROA018.36,2.1559184664729218e-4,4.845424152020181e-4,0.14746093749999997,-0.45702803786077706,DOMax
4AROA038.49,0.0011961102725380887,0.0022472305049819983,0.17480468749999997,-2.404848735915635,DOMax
4AROA140.66,7.296204536259266e-4,0.0014427671995009693,0.10247043485974944,-1.4677887070232405,DOMax
4AROA145.34,2.786533683243376e-4,7.544501728207057e-4,0.18729252170151317,-0.566614312483027,DOMax
4AROA158.22,3.1876498824850096e-4,5.393860599562102e-4,0.25724792480468744,-0.6628976871310219,DOMax
4AROA163.76,1.4506767897786357e-4,5.880736997232391e-4,0.19401355632619105,-0.3167775362964586,DOMax
4AROA167.34,3.234986540134048e-4,0.0011370030439526652,0.08879852294921874,-0.661660476039463,DOMax
4AROA175.63,-7.579726905463902e-5,0.001087049109910406,0.8237285614013671,0.15698443353594407,DOMax
4AROA180.21,-7.500405668756912e-4,5.580897204667097e-4,0.005231639638359652,1.510535165579566,DOMax
4AROA183.64,-0.0013619224697638717,0.0017157893755045239,0.0016350362036130159,2.766660707701618,DOMax
4AROA192.55,-0.041974397909128915,0.0034863838124431536,0.19746607335801866,84.00543211473652,DOMax
4AROA192.94,-9.146609627130604e-4,0.0014062361785584748,0.008009910583496092,1.845221817943655,DOMax
4AROA196.05,1.522293619655638e-4,7.819450846450921e-4,0.3954620361328125,-0.3176406999320301,DOMax
4ASRE046.90,0.0026337434907181484,0.0014522403413105057,0.004178033796242796,-5.2928595858111915,DOMax
4ASRE048.98,6.111110783917578e-4,5.190857882698314e-4,0.22365884096794122,-1.2485098009354774,DOMax
4ASRE052.31,-0.0012617232444606292,4.986116943118611e-4,0.15330922384913984,2.508005602161454,DOMax
4ASRE056.06,1.5557177043538272e-4,3.48234796249715e-4,0.10753092060164311,-0.3281411651108505,DOMax
4AWTH000.40,5.625914486040798e-4,4.627300752988829e-4,0.01134681701660156,-1.1563899439994887,DOMax
5ASRN000.66,0.003994729371063585,0.006252445350213551,0.04206273335676611,-8.039257763108171,DOMax
8-NAR047.69,-3.6885257224484095e-4,0.0011056898718766889,0.38940429687500006,0.7219609172733121,DOMax
8-NAR054.17,-2.1335879901005633e-4,7.045055142886104e-4,0.8383602338389031,0.4149648185043345,DOMax
9-NEW087.14,8.04401309487678e-4,0.0014481411307536516,0.060518264770507806,-1.6378832381562827,DOMax
9-NEW089.34,0.0011660902588896077,0.0011568462120293533,0.0027263164520263668,-2.3639173410257364,DOMax
9-NEW092.66,2.7809109670819376e-4,0.0014367026601651836,0.45520895748731993,-0.5750821708818563,DOMax
9-NEW098.32,8.069950320437996e-4,0.0016255260357202165,0.04616022109985351,-1.6240776822568408,DOMax
9-PKC000.00,2.2686954086667245e-4,0.001509788824225411,0.6332969665527343,-0.463271967449792,DOMax
9-PKC004.16,-7.936073084973715e-4,8.119334969759444e-4,0.05950736999511718,1.5991854571442636,DOMax
2-JKS044.60,-5.81705730696493e-4,6.139898469211127e-4,0.05452053182433361,1.1214202061206926,DOMean
2-JKS046.40,-5.507321873471244e-4,6.11846617457709e-4,0.07732800868102668,1.056758517488138,DOMean
2-JKS048.90,-3.7981874900610744e-4,2.6372129756930656e-4,0.006780347000164037,0.7024192000669394,DOMean
