ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39004,Perennial,{306EBC6A-A3DF-44D4-AAF3-DE2DE06CE064},NA,NA,2012-10-16T00:00:00Z,NA,02080207113645,Chesterfield,2.23,0.02
390 (Lake/Pond),39004,Perennial,61495847,NA,NA,2002-11-15T00:00:00Z,NA,02080207008602,Chesterfield,2.21,0.02
390 (Lake/Pond),39004,Perennial,135653094,NA,NA,2005-05-17T10:53:13Z,NA,02080206015147,Chesterfield,2.2,0.02
390 (Lake/Pond),39004,Perennial,135653193,NA,NA,2005-05-17T10:55:01Z,NA,02080206015207,Chesterfield,2.19,0.02
390 (Lake/Pond),39004,Perennial,62588636,NA,NA,2002-11-27T00:00:00Z,NA,02080205001552,Henrico,2.17,0.02
390 (Lake/Pond),39004,Perennial,61495383,NA,NA,2002-11-15T00:00:00Z,NA,02080207002444,Chesterfield,2.17,0.02
390 (Lake/Pond),39004,Perennial,135653134,NA,NA,2012-07-25T00:00:00Z,NA,02080206015174,Henrico,2.15,0.02
390 (Lake/Pond),39004,Perennial,61495225,NA,NA,2002-11-15T00:00:00Z,NA,02080207002433,Chesterfield,2.14,0.02
390 (Lake/Pond),39004,Perennial,135653104,NA,NA,2012-07-25T00:00:00Z,NA,02080206002488,Henrico,2.14,0.02
390 (Lake/Pond),39004,Perennial,{DEE94231-0B9F-4B67-98C0-709A89AD2629},NA,NA,2012-07-25T00:00:00Z,NA,02080206016741,Henrico,2.13,0.02
390 (Lake/Pond),39004,Perennial,61495819,NA,NA,2002-11-15T00:00:00Z,NA,02080207002470,Chesterfield,2.12,0.02
390 (Lake/Pond),39004,Perennial,61495083,NA,NA,2002-11-15T00:00:00Z,NA,02080207002425,Chesterfield,2.11,0.02
390 (Lake/Pond),39004,Perennial,135652423,NA,NA,2012-07-25T00:00:00Z,NA,02080206002036,Henrico,2.07,0.02
390 (Lake/Pond),43600,Unknown,62589184,Shields Lake,01479610,2013-05-01T00:00:00Z,NA,02080205001567,Richmond City,2.07,0.02
390 (Lake/Pond),39004,Perennial,62588672,Duval Pond,01466065,2002-11-27T00:00:00Z,NA,02080205005006,Henrico,2.07,0.02
390 (Lake/Pond),39004,Perennial,62588748,Bryant Pond,01463963,2002-11-27T00:00:00Z,NA,02080205001558,Henrico,2.03,0.02
390 (Lake/Pond),39004,Perennial,135652627,NA,NA,2012-07-25T00:00:00Z,NA,02080206002447,Henrico,2.03,0.02
