FDT_STA_ID,MonthNum,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
4ASRE048.98,8,13,August,4ASRE048.98_8,-0.05985714285714332,0.12625205454545457,0.30774889830236934,7.574000000000051,DOMean
4ASRE052.31,8,14,August,4ASRE052.31_8,0.01049999999999999,0.05028484999999813,0.7596144888058398,2.8415,DOMean
4ASRE056.06,8,16,August,4ASRE056.06_8,0.01807142857142853,0.01710461499999721,0.008056640625,3.5220714285714303,DOMean
4AWTH000.40,8,25,August,4AWTH000.40_8,0.00470833333333333,0.02757359638157895,0.5879268646240233,4.494875,DOMean
8-NAR047.69,8,18,August,8-NAR047.69_8,-0.0880982142857149,0.07975304931818313,2.1335227413779996e-4,9.79006250000002,DOMean
8-NAR054.17,8,13,August,8-NAR054.17_8,-0.02772222222222217,0.0945601012820536,0.1677246093750001,6.497444444444442,DOMean
9-NEW087.14,8,28,August,9-NEW087.14_8,-0.02392463768115997,0.0326335443062656,0.08254255239408262,3.384533333333349,DOMean
9-NEW089.34,8,27,August,9-NEW089.34_8,-0.01468181818181814,0.04703107867133298,0.30381584167480463,3.6958636363636495,DOMean
9-NEW092.66,8,27,August,9-NEW092.66_8,-0.0355000000000002,0.05861338717948689,0.13728332519531247,4.849500000000001,DOMean
9-NEW098.32,8,22,August,9-NEW098.32_8,0.06563636363636362,0.07269596109625578,0.00108734700464745,3.913033333333337,DOMean
9-PKC000.00,8,26,August,9-PKC000.00_8,-0.00201298701298703,0.05424005454545375,0.9217147827148436,3.763216666666635,DOMean
9-PKC004.16,8,17,August,9-PKC004.16_8,-0.0456874999999981,0.09880911250000092,0.2091743487838535,10.059062499999968,DOMean
2-JKS044.60,8,14,August,2-JKS044.60_8,0.08842948717948718,0.27590987348178136,0.27832031249999994,2.993397435897436,DORange
2-JKS046.40,8,15,August,2-JKS046.40_8,0.03839285714285784,0.07274006250000105,0.08032226562500007,6.454444444444446,DORange
2-JKS048.90,8,17,August,2-JKS048.90_8,0.01888888888888879,0.06893190196078419,0.09423828125000008,7.879821428571402,DORange
4ABSA000.62,8,26,August,4ABSA000.62_8,0.05549999999999992,0.0700940333333333,0.00557881593704223,6.726907894736842,DORange
4ABWR002.50,8,26,August,4ABWR002.50_8,-0.0739,0.08039398499999995,0.2029170989990234,10.4294,DORange
4ABWR010.55,8,26,August,4ABWR010.55_8,0.05895454545453984,0.12622130075757568,0.01787281036376952,7.494954545454688,DORange
4ABWR017.42,8,24,August,4ABWR017.42_8,0.07636363636363627,0.08310422272727297,7.209777832031249e-4,5.64444444444444,DORange
4ACCK001.80,8,23,August,4ACCK001.80_8,0.01638461538461543,0.08529023076923072,0.4413337707519531,6.82083333333334,DORange
4ACOA000.60,8,24,August,4ACOA000.60_8,0.07794444444444476,0.06764362500000004,1.1911688733936862e-4,5.705000000000002,DORange
4AGIL002.39,8,27,August,4AGIL002.39_8,0.02423076923076916,0.12386679487178176,0.7313888072967528,7.952000000000005,DORange
4AROA018.36,8,11,August,4AROA018.36_8,0.01829710144927538,0.00578916802536232,0.00488281249999999,6.757333333333333,DORange
4AROA038.49,8,14,August,4AROA038.49_8,0.01758928571428571,0.06082747368421051,0.8016843787266217,4.295818965517241,DORange
4AROA140.66,8,17,August,4AROA140.66_8,0.03571428571428571,0.03724149999999865,0.14867854922651083,8.029761904761902,DORange
4AROA145.34,8,17,August,4AROA145.34_8,0.12120535714285716,0.06438572916666664,7.324218750000004e-4,2.9817857142857136,DORange
4AROA158.22,8,23,August,4AROA158.22_8,-0.04624999999999982,0.05333241666666692,0.017425537109375,6.539999999999998,DORange
4AROA163.76,8,27,August,4AROA163.76_8,-0.04163461538461538,0.06281542105263159,0.02826108370127153,8.957142857142856,DORange
4AROA167.34,8,24,August,4AROA167.34_8,-0.0081547619047619,0.04630985606060602,0.5135916823370115,8.004999999999999,DORange
4AROA175.63,8,33,August,4AROA175.63_8,0.08958333333334165,0.0922212499999879,9.596347808837884e-5,7.308333333333066,DORange
4AROA180.21,8,31,August,4AROA180.21_8,0.03326388888888886,0.07236473257575748,0.01041108313968534,10.17095394736842,DORange
4AROA183.64,8,32,August,4AROA183.64_8,0.02458333333333338,0.08463174999999998,0.05960021364319958,11.099999999999984,DORange
4AROA192.94,8,28,August,4AROA192.94_8,-0.08414285714285714,0.16332133333333332,0.12701332858361858,4.852666666666668,DORange
4ASRE046.90,8,17,August,4ASRE046.90_8,0.24000000000000035,0.1215216657754008,0.00341796875,-2.6380952380952367,DORange
4ASRE048.98,8,13,August,4ASRE048.98_8,0.09410256410256414,0.07201200000000003,0.18485825379822088,3.671538461538459,DORange
4ASRE052.31,8,14,August,4ASRE052.31_8,0.04436813186813184,0.03175235000000002,0.431640625,5.629532967032968,DORange
4ASRE056.06,8,16,August,4ASRE056.06_8,-0.00416666666666755,0.07866016666666643,0.8393554687500002,8.336000000000034,DORange
