Year,MonthNum,Mean_TMax,Mean_TMaxAnom,Nobs,Month
2011,10,18.90909090909091,-0.577666749690793,33,October
2012,5,23.330967741935485,2.1959269608250636,31,May
2012,6,25.2052,-0.5554305549574678,25,June
2012,7,28.865806451612904,0.8659934545104538,31,July
2012,8,28.041290322580647,0.46855846969834347,31,August
2012,9,24.322666666666667,-0.5485730532580205,30,September
2012,10,20.56838709677419,0.9338043759135353,31,October
2013,5,18.88142857142857,-1.8457699341737395,35,May
2013,6,25.48793103448276,0.20936733026255305,29,June
2013,7,27.890714285714285,0.08839814471243024,28,July
2013,8,26.386,-0.7529259469645067,30,August
2013,9,24.85333333333333,0.25922878878779443,33,September
2013,10,19.892333333333333,0.6622466854135561,30,October
2014,5,20.440322580645162,-0.4240373610940767,31,May
2014,6,25.985,0.5152972354635403,32,June
2014,7,27.218666666666667,-0.7592078711525595,30,July
2014,8,25.15375,-2.151368747993725,32,August
2014,9,24.96,0.27416596785698666,31,September
2014,10,19.45064516129032,0.20178200584931968,31,October
2015,5,24.078709677419354,3.0382300570091427,31,May
2015,6,26.141875,0.6240636513282417,32,June
2015,7,28.2959375,0.3708065967320725,32,July
2015,8,28.194375,0.7068185101581426,32,August
2015,9,27.0475,1.7207699722715726,16,September
2015,10,17.57190476190476,-1.8921533326410174,21,October
2016,5,20.592173913043478,-0.9581175063562088,23,May
2016,6,25.776470588235295,0.15546799536775674,34,June
2016,7,30.138437500000002,1.9654020536648455,32,July
2016,8,29.115806451612904,1.556324408460711,31,August
2016,9,27.06967741935484,2.001801272516485,31,September
2016,10,21.40848484848485,1.7913349484963157,33,October
2017,5,21.876129032258063,1.3106273075705925,31,May
2017,6,25.22833333333333,-0.1064449140795323,30,June
2017,7,28.683548387096774,0.9470528017097445,31,July
2017,8,27.037666666666667,-0.10125928029783987,30,August
2017,9,24.29225806451613,-0.24692719029986146,31,September
2017,10,18.49608695652174,-0.5869080574040427,23,October
2018,5,22.682903225806452,2.0191287738462522,31,May
2018,6,26.601875,1.1663081534671054,32,June
2018,7,27.962903225806453,0.1899370521841276,31,July
2018,8,28.163939393939394,0.7796949255099641,33,August
2018,9,27.674705882352942,2.7523815104505704,34,September
2018,10,20.274857142857144,0.8810580866000602,35,October
2019,5,24.1040625,3.0790256703936913,32,May
2019,6,25.111875,-0.40819404280054616,32,June
2019,7,28.656176470588235,0.5113527371221293,34,July
2019,8,28.490606060606062,0.8849161929018803,33,August
2019,9,26.0365625,1.0610145053566047,32,September
2019,10,22.184782608695652,2.606242119829322,23,October
2020,6,24.855384615384615,-0.38017946511122136,13,June
2020,7,29.053870967741936,1.0112865145497187,31,July
2020,8,28.0165625,0.5720864061129808,32,August
2020,9,25.592121212121214,0.4464364215416654,33,September
2020,10,19.4990625,-0.14163562068796054,32,October
2021,5,19.165,-1.573492437836443,32,May
2021,6,26.543225806451613,1.0037082628723422,31,June
2021,7,28.2496875,0.3357665655996698,32,July
2021,8,27.889310344827585,0.6028086270319762,29,August
2021,9,26.0903125,1.3370002692454939,32,September
2021,10,20.9688,1.5988178664181119,25,October
2022,5,21.009032258064515,0.2561045802978653,31,May
2022,6,26.864375,1.3692382129909149,32,June
2022,7,28.21891891891892,0.1704180307088234,37,July
2022,8,28.38375,1.0850893000789594,32,August
2022,9,25.0164,0.346245631990554,25,September
2022,10,18.23677419354839,-1.2841723328754173,31,October
2023,5,20.653333333333332,-0.4282950038676443,30,May
2023,6,24.070625,-1.5604992773943835,32,June
2023,7,28.83448275862069,0.5461266536666308,29,July
2023,8,27.633548387096774,0.09890539745796029,31,August
2023,9,25.069666666666667,-0.03633234371157552,30,September
2023,10,22.736666666666668,3.15449139860864,15,October
